microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-146a-5p	0.0011289047265794546E0	0.006910265296031812E0	0.054396430668832686E0	-4.200344200529195E0	-18.3835591362241E0	538.9647607794054E0	9908.090557000562E0
hsa-miR-377-3p	0.0013875754974294824E0	0.008408707514422664E0	14194.932051306187E0	13.793088322695711E0	14194.932051306187E0	141.9493207425188E0	0.010000000000019327E0
hsa-miR-106b-3p	0.0014280540290990229E0	0.008515463414651057E0	7.508303089132595E0	2.908486888895857E0	7.508303089132595E0	6485.427924637264E0	863.7674645574989E0
hsa-miR-4443	0.0014332958222679998E0	0.008515463414651057E0	0.05435686017606393E0	-4.201394065885155E0	-18.396941927126807E0	191.61061258707358E0	3525.049314119172E0
hsa-miR-222-3p	0.001522819029711904E0	0.008893497417564315E0	5.5004392568064375E0	2.459546834694014E0	5.5004392568064375E0	2069.1465818260604E0	376.1784258720643E0
hsa-miR-369-5p	0.0015262767845324898E0	0.008893497417564315E0	23657.553416871266E0	14.530013262362653E0	23657.553416871266E0	236.57553457086465E0	0.009999999999990905E0
hsa-miR-25-3p	0.0015697763521878413E0	0.009059852089769827E0	3.776878605152466E0	1.91719441402456E0	3.776878605152466E0	36946.82697047992E0	9782.370794704693E0
hsa-miR-25-5p	0.0018681459377691962E0	0.010680155078189932E0	8.002447897724924E0	3.000441378713865E0	8.002447897724924E0	9812.058821237748E0	1226.1321714548321E0
hsa-miR-185-3p	0.00195835822350231E0	0.011091262462078501E0	10962.452098416677E0	13.420282918226054E0	10962.452098416677E0	109.62452115627622E0	0.009999999999990905E0
hsa-miR-199a-3p	0.0020797906824565563E0	0.011669936607117345E0	0.0828288315770963E0	-3.5937231523266475E0	-12.073090745813664E0	303.57331867373165E0	3665.0682258975194E0
hsa-miR-320a-3p	0.002107880086675502E0	0.01171903974793903E0	4.283419077297746E0	2.098762833232236E0	4.283419077297746E0	7340.58612648795E0	1713.7212101402665E0
hsa-miR-151a-3p	0.0022064028160211934E0	0.012155273695534938E0	6.857336700914246E0	2.777648361464901E0	6.857336700914246E0	3725.6551132612167E0	543.3093450921197E0
hsa-miR-21-3p	0.0023471741543997222E0	0.01281430214023632E0	12.07864876245412E0	3.5943871643894783E0	12.07864876245412E0	6562.442751487747E0	543.3093450921187E0
hsa-miR-125a-5p	0.003205514763381325E0	0.017344124523295385E0	2.1659268138708625E0	1.1149844954626766E0	2.1659268138708625E0	14334.558275355237E0	6618.209895959597E0
hsa-miR-4497	0.0037977370826304513E0	0.020366625416584544E0	0.08342626891390596E0	-3.5833544648025244E0	-11.986632184545824E0	9536.123932289496E0	114306.0100905442E0
hsa-miR-6720-5p	0.003954110047715403E0	0.020861190323140377E0	7847.381391645171E0	12.937995603183913E0	7847.381391645171E0	78.47381403522459E0	0.009999999999990905E0
hsa-miR-708-3p	0.003958806744490335E0	0.020861190323140377E0	12578.692074863442E0	13.61869429896806E0	12578.692074863442E0	125.78692094939751E0	0.010000000000019327E0
hsa-miR-26a-5p	0.004513929054445907E0	0.02358138799132948E0	1.5332949621051868E0	0.6166352569659529E0	1.5332949621051868E0	5469.19551429447E0	3566.955901551125E0
hsa-miR-9-5p	0.005035890684501194E0	0.02608333123767285E0	6.072085586191945E0	2.6021921257178873E0	6.072085586191945E0	2622.4653469073082E0	431.88873227875047E0
hsa-miR-181a-2-3p	0.005184781426745202E0	0.02662692834413214E0	0.18864161836304416E0	-2.4062800944727245E0	-5.301057151001971E0	189.26242765669173E0	1003.2909458280908E0
hsa-miR-191-5p	0.00532758705065329E0	0.02713040128315877E0	2.2030687149781185E0	1.139514494227228E0	2.2030687149781185E0	50284.002828522396E0	22824.52765996212E0
hsa-miR-20a-5p	0.005485242073588118E0	0.027700472471619993E0	3.5848383856375414E0	1.8419080797375207E0	3.5848383856375414E0	10439.895201065126E0	2912.235943645639E0
hsa-miR-21-5p	0.008529630468023734E0	0.042718645153903986E0	1.8832727929770907E0	0.913241990164778E0	1.8832727929770907E0	55442.156547458464E0	29439.25954236742E0
hsa-miR-27a-5p	0.009749557943770724E0	0.04842813208135294E0	3.0032458633725043E0	1.5865225872322912E0	3.0032458633725043E0	1924.85907615316E0	640.926238930758E0
hsa-miR-29c-3p	0.009883602476950703E0	0.0484993708068944E0	0.5364742323607714E0	-0.8984192169868274E0	-1.8640224258292317E0	1113.7665985406265E0	2076.0859170375993E0
hsa-miR-134-5p	0.00992396366345694E0	0.0484993708068944E0	4.695105244298778E0	2.231157497330842E0	4.695105244298778E0	1243.0657968855962E0	264.75781305869396E0
hsa-miR-532-5p	0.01046836136265858E0	0.0507506158861688E0	4.945925944433376E0	2.306240638353291E0	4.945925944433376E0	4135.585570415204E0	836.160026608035E0
hsa-miR-7704	0.010888772579197037E0	0.05236981097613814E0	0.04539568636437515E0	-4.461300974998432E0	-22.02852473632303E0	8008.290296173223E0	176410.82097703166E0
hsa-miR-361-5p	0.011014761064901608E0	0.05255862366401869E0	4.89431180752819E0	2.2911060157705903E0	4.89431180752819E0	2318.902028233577E0	473.79531971070264E0
hsa-miR-101-3p	0.012672178274156476E0	0.05999484401670957E0	0.46149534154464705E0	-1.1156120098859903E0	-2.1668691099956763E0	270.0744266222981E0	585.2159325240732E0
hsa-miR-142-3p	0.01578406338834621E0	0.07382560852846677E0	0.1747489946137594E0	-2.5166439395436804E0	-5.722493581209204E0	1037.3760747162319E0	5936.377930612395E0
hsa-miR-1292-5p	0.015837176747030828E0	0.07382560852846677E0	0.0923260721114549E0	-3.4371180793419542E0	-10.831176688561085E0	78.47381403522459E0	849.9637455827672E0
hsa-miR-125b-1-3p	0.016675870030583274E0	0.07714181098117148E0	7.754858151289649E0	2.955100392311965E0	7.754858151289649E0	3781.2613810187104E0	487.5990386854355E0
hsa-miR-423-3p	0.017915658156855373E0	0.08224915790192694E0	5.725554689154456E0	2.5174154676248337E0	5.725554689154456E0	6540.409889368671E0	1142.318996590925E0
hsa-miR-363-3p	0.018290896369971138E0	0.08292946720137753E0	0.1844515536460756E0	-2.4386861538999076E0	-5.421477782284194E0	701.7628511758091E0	3804.5917071681106E0
hsa-miR-6126	0.018337538952119783E0	0.08292946720137753E0	0.12702483488966895E0	-2.976817506004723E0	-7.872476282835389E0	6557.19659218788E0	51621.37467187552E0
hsa-miR-501-3p	0.019092457630883665E0	0.08570392092085556E0	0.2005478417685983E0	-2.3179816544716365E0	-4.986341369626146E0	159.285813000831E0	794.253439176082E0
